sap_no,part_no,part_description,planned_output,is_active
30023657,P002638GRY,P002638GRY Supply Holder Paint,2400,1
30023658,P002808GRY,P002808GRY Wire Chain Limit Paint,900,1
30023659,U000412GRY,U000412GRY Drawer Top Large Paint,180,1
30023660,U000413GRY,U000413GRY Drawer Top Small Paint,180,1
30023661,U000414GRY,U000414GRY Drawer Small Left Paint,180,1
30023662,U000415GRY,U000415GRY Drawer Big Left Paint,180,1
30023663,U000416GRY,U000416GRY Drawer Large Left Paint,180,1
30023664,U000417GRY,U000417GRY Drawer Big Right Paint,540,1
30023665,U000418GRY,U000418GRY Drawer Large Right Paint,540,1
37002969,P002595,P002595 Drawer Handle Big Left IPC,300,1
37002971,P002601,P002601 Drawer Handle Big Right IPC,300,1
37002972,P002592,P002592 Drawer Handle Small Left IPC,300,1
37002974,P002653,P002653 Drawer Handle Large Left IPC,300,1
37002976,P002659,P002659 Drawer Handle Large Right IPC,300,1
40013724,TC-5608TSR,TC-5608TSR,18,1
40013818,TC-5608TSBLK,TC-5608TSBLK,18,1
40013820,TC-5608TSGRY,TC-5608TSGRY,18,1
40013822,TC-5608TSBLU,TC-5608TSBLU,18,1
30xxx_U000419 ,U000419,U000419 Bottom Back Weld,36,1
10028387,10028387,10028387,,1
10028388,10028388,10028388,,1
10030454,P002726,P002726 Aluminum handle 593mm,,1
10030456,P002727,P002727 Plastic slide lock L=581.6mm,,1
10030774,P002745,P002745 Drawer Handle Big(Left),,1
10030780,P002751,P002751 Drawer Handle Extra Big(Left) GP,,1
10034229,P002936,P002936 5×2 inch heavy duty fixed caster,,1
10034230,P002937,P002937 5×2 inch heavy duty universal caster,,1
10034342,P002886,P002886 Top Reinf,,1
10034349,P002898,P002898 Bottom Panel GP,,1
10034350,P002899,P002899 Bottom Panel Reinf,,1
10034351,P002900,P002900 Side Bottom Panel Reinf,,1
10034352,P002901,P002901 Rear Plate,,1
10034353,P002902,P002902 Side Panel Right,,1
10034354,P002903,P002903 Top Panel,,1
10034355,P002905,P002905 Horizontal Groove,,1
10034356,P002907,P002907 Middle Divided Plate Right,,1
10034357,P002909,P002909 BBS Holder Left,,1
10034358,P002911,P002911 BBS Holder Right,,1
10034359,P002912,P002912 Balance Bar,,1
10034360,P002913,P002913 Drawer Back Top Large,,1
10034361,P002914,P002914 Drawer Handle Top Large,,1
10034362,P002915,P002915 Drawer Body Top Large,,1
